default_header,review_body,label
100001,"Caution: You may lose a bit of the magic....: This is a very well written book about the inner workings and secrets of Disneyland. For me though, being a huge Disneyland fan, I lost a little bit of the Disney magic. I do not need to know that some of the past cast members called it ""Dismal Land"" and hated their jobs; or that there has been a murder at DL; or some of the other disturbing events. I walked away after reading this book with a bit of sadness; the magic that I feel when I walk through those gates will be forever tarnished, and I deeply regret reading this book.",0
110001,"Good Teaching Tool: This is a pretty easy read and it helped my daughter understand that privates are private. Some pictures were a little bit too much for my 5 year old, but I just skip those pages!",1
120001,"Access Code doesn't work: Disappointed because the Access Code didn't work, it said it had already been used. I bought the book new. I tried emailing the comapany several times, but did not have any response at all. Very disappointed.",0
130001,"One of the best Sci-Fi films ever made.: A Classic science fiction film to be added to a list of the best films ever made. In a time that fancy special effects in movies were a few years in the future, this film does pretty good! The saucer space ship, Gort; the galactic Space-Cop Robot and the steel melting rays that emit from Gort's head are great! The actors, the plot and the haunting music are excellent and after reading the original story by the author, I can say that Director Robert Wise made a much more enjoyable film for all of us,and improved on the story 100%.",1
140001,"I DO NOT GIVE REVIEWS BUT I HAVE TO WARN: DO NOT BUY ANY PRODUCT FROM THIS COMPANY: I PURCHASED THREE DIFFERENT PRODUCTS FROM THIS AROMA COMPANY. THIS COMPANY HAS NO QUALITY CONTROL ON THEIR PRODUCTS. ALL OF THEIR PRODUCTS GIVE YOU ""C1"" ERROR PROBLEMS. IF NOT AFTER YOU OPEN THE BOX TRY USING THE PRODUCT FOR OVER A MONTH WHEN YOU CANNOT RETURN PRODUCT ALREADY. IT WILL GIVE YOU THAT ERROR, OVER AND OVER EVEN IF YOU ASK THE CUSTOMER SUPPORT WHICH IS VERY UNHELPFUL AND TELL YOU THERE IS NO FIX TO THE PRODUCT.",0
150001,"Hard to get out: In removing the cartridge, the guts came out, not the brass barell,And it is on the shower in my motor home, with a fiber glass stall.So how can I get it out to install the new Cartridge??????My Hole Motor home has Moen, they are great untill you have to replace parts, and there are NO instructions,And no new clips, so for me it was a 200 mi. around trip for 3 sets of clips from LOWES..In Yuma AZ. I live in Mexico on the beach and I don't like driving up to the U.S. for part..............Some One let my know how to get the barell out................Thanks Al Brandon",0
160001,"Wonderful and perfect view for small objects: I just started a small business customizing hand-set Rhinestones motif transfers for T-Shirts. This clear prism box is perfect for keeping my Rhinestones of various colors and sizes separated. The lid fits tight so the tiny stones don't spill into the next bin. The box being crystal clear does not allow for any color distortion which is important as so many colors and manufacturers can have the same name but be slightly different. I have been using this box for a couple years and with care, so far show no wear and tear. They are strong and stackable. This storage box is economically perfect for my business.",1
170001,"JEWS FOR JESUS: This documentary is based on a Messianic Jewish congregation called The City Of David in Toronto Canada. They formed a group movement called Jews for Jesus which often clashed with another movement called Jews for Judaism from the Orthodox Jewish congregations that often opposed Yeshua as the returning Messiah.Basically, people are looking for answers to the current problems of the world today. Young Jewish adults are also shown being ostracized by their parents and other family members when they become believers in Jesus as the Messiah. I highly recommend viewing for those wondering about what is really going on. I just wish it had included more into discussing the growing Jewish Messianic movement taking place in Israel.",1
180001,"Predictable.: Pretty much the old Caddy Shack plot that we've seen a hundred times before.However, Brooke Shields still looks pretty good. Funny movie...if you're twelveyears old.",0
190001,"Big Disappointment: I was excited to find these tapes at my library and kept waiting for the ""magical"" love to reveal itself as it did in Waller's novel. Instead, I was told all sorts of ""filler"", such as what Jana St. James was wearing and what she ate each day. An unbelievable amount of extraneous material to blow smoke over her THIN story about an average affair initiated by a married man. One can only feel sorry for Waller's wife Georgia, learning what her husband was doing the night they gave birth to their daughter. Much wishful thinking on the part of St. James: I didn't see ANY parallels with Madison County, the novel, except that the characters had sex.",0
200001,"H2O BETTER: Besides H20, Halloween 5 is the only other Halooween movie I've seen. I like the idea of Mike having a niece, but it was just too low on gore. Those who are fans of the original I recommend that you set this title a side.",0
210001,"Very Nice, But Not Long Enough: I purchased this car seat protector to go with my Eddie Bauer 3 in 1 carseat. I have to agree with another reviewer who said the carseat protector was not long enough. Now she had a big SUV and I have a 2006 Dodge Durango so I have a big SUV also so maybe it is our big seats. But I think it is pretty pointless to have ""storage pockets"" on the protector when it is not long enough to be able to store anything in. As it is, the pockets end up under the carseat.I own an Eddie Bauer carseat so it can't be said that the car seat protector just works with the Eddie Bauer brand. My daughter is still in a rear facing position, but I *believe* that when she gets moved to a forward facing or a booster seat the front pockets will possibly be able to be used if it doesn't interfere with her feet.",1
220001,"The Wu-Tang-iest cd ever!: What a great album from a great group. I can't even tell you how much I miss them!Why do all the great bands have to break up??? The Beatles, The Monkees, The Weather Girls, New Kids On The Block, and The Wu-Tang Club. It's just not right! Don't they know a good thing when they have it?Well, at least we still have their great music. Get yourself some great Wu-Tang music and get yourself this great cd!",1
230001,"AWESOME! OUTSTANDING!: ""Wasted"" is the most powerful book I have read in years! I have a whole library of books on eating disorders, having struggled with the illness myself for years, and this is by far the best, most gutrenching account of what its really like!",1
240001,Beautiful watch: I was so delighted when my watch arrived. I have been wearing Seiko watches most of my adult life. This one is so beautiful. I love it.,1
250001,"Fun to watch: Even though this movie (and most movies like it for that matter) hold no real value in the martial art they are trying to dictate, its fun to watch what Hollywood can do with the myth of the Ninja in the media. Its definatly funny at some times (like some of the old Godzilla movies), but not recomended if you are interested in the Bujinkin Ninjutsu Ryu.",1
260001,"Come and See: I paid $26.00 for this movie and don't have a clue what is was about, not a clue. Absolute garbage, I own 150 war movie DVDs and I won't even let this one take up space on my DVD rack. Into the trash it goes.",0
270001,"Excellent MDA.....mediocre phone: This is the best handheld I have seen yet. It allows you the unbelievable wi-fi connection and bluetooth that will sync to Mac or PC. The wi-fi can be used WITHOUT the tmobile data plan and wherever there is free wi-fi, you are set to web surf at incredibly high speeds. Again, you don't need the service to enjoy the internet.The only negative is the poor phone signal. I am a bit frustrated with the inability to make phone calls while in the house (I have to step outside). But, you can't win them all. If you need a hand held and want a great one...this has it all!",1
280001,"If it weren't for the wealth of knowledge...: this video wouldn't be worh it...as the production/image quality is so 1980'sish, that you can't belive that twenty years later Wayne is still selling this video. If I had three wishes, 1) I would wish for a dramatic price reduction in this video 2) I would wish Wayne to produce a new set of videos with all digital equipment & footage. 3) Sell it at the price we're paying for this current video.",0
290001,"THE COLDEST BOOK EVER: I first read this book earlier this year and it took me two days to read it, I couldn't even sleep. I let someone borrow it and they lost it(?) and I just purchased it again. I am an avid reader and will read anything that's good and out of all the books I have read this is the best. I will not let this one out of my possession. This book is the realest book I have ever read and there are so many parts in the book that I have to read over and over because it is so true. There needs to be a movie to go along with the book. Sister Souljah is an excellent author and the book is worth investing in and adding to your collection. Hats off to Sister Souljah and if you don't have the book you don't know what you are missing.",1
300001,decent get what u pay for: I got this set for around the house and for that it is perfect. To use these all the time they will stand up to abuse but there are better sets out there.Cheers,1
310001,"missing part: Did not get point tip with unit,so unable to use engraver. I will be ordering a tip.will update review when I get tip.",0
320001,"Plodded Through...: This is the second book by Jonathan Kellerman I've read, ""Billy Straight"" being the first. I really enjoyed that one and anticipated a good read with ""Gone"". Wrong! This book was extremely tedious, from start to finish. I kept at it longer than I should have, to the point I just started skimming through the details to just find out who did it..so that I could give them book away to some unsuspecting victim.",0
330001,"Charging only (will not sync): Be forewarned, this cable will NOT sync your iPhone/iPod as described. It will charge, but that's it. I wish I had read the reviews more carefully b/c I really didn't need a charge-only cable. UGH",0
340001,Buttler Creek Comfort Stretch Rifle Sling: I have carried my rifle for years with one of these slings. It seems buttler creek has tried to lower their cost with this new version. Very comfortable still. I wish it had metal buckles instead of plastic. I'm worried about the durability of it and years of abuse in the woods. I would buy it again.,1
350001,"Bought to weigh my cat: As my cat has a GI disease, I need to keep track of his weight. I ordered this scale and found that it worked for the first month. Then, every time I would place my cat on the scale, it would jump between 8.14 and 9.1 lbs. I contacted Salter and per their instructions, shipped the scale back to them (I payed for shipping.) They promptly sent me a new one (they paid for the shipping). I am having the same problem. I just ordered a mechanical pet scale and I am tossing this one in the garbage. What a wasteSalter 914 Electronic Baby and Toddler Scaleof money.",0
360001,"Terrible sound, and doesn't work on batteries: The sound quality of this unit is terrible. Loads of static, and I can hear every peep my 3 month-old makes. The volume only goes down to a certain level before it goes to silence, which sort of defeats the purpose... I want to hear him when he needs me, not when he's cooing in his sleep! I've even tried moving the main unit across the room from him and placing the receiver in the hallway.Then there's the ""battery backup"" - that's a joke! The unit draws too much electricity for batteries, so we always have it plugged in.I've had enough... Buying another one today...",0
370001,"Great Pump: This little pump packs serious power. You have to use a lot of pumps to fill up a tire, but it's a small price to pay. Definitely worth every penny.",1
380001,"Sequel to Mrs Mike: I was born in Calgary,Alberta, Canada where the original book ""Mrs Mike"" basically started. I would recommend reading this book first in order to understand ""The Search for Joyful"". Mrs Mike is my altimate altime favorite book and this was a pleasent surprise as I didnt even know they had printed another book. Enjoy both books.",1
390001,"Love it: Love this product. Great shine even for a any nail polish color. Dries pretty quick, so I don't have to waste a time!",1
400001,"The best soundtrack ever to anything.: I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit. This in my opinino is Yasunori Mitsuda's ultimate masterpiece. The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fade.The price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny.",1
410001,"not so good: I used this printer for a year, it was working fine, and never got paper jam, and working fine with windows XP, and Vista. However margin is notperfect exact. every time when I print my document out margin is always littel different. I printed out same page 10 times every margin of paper is different. it was very annoying meMy toner was out last week, so I got the other printer --Brother HL-2070N Network Monochrome Laser Printer (Black)-- I think it is better than this one.it is five dollars cheaper than HP.and spec is higer than HP.brother HL-2070N VS HP1020Print speed: Up to 20 ppm VS 14 ppm A4-size(I used both printer and brother is faster than HP)150-sheetinput capacity : 250 sheet VS 150-sheetMemory: 16 MB VS 2 MBStandard interfaces: Hi-Speed USB 2.0, IEEE-1284 Parallel, 10/100 BaseT Ethernet VS Hi-Speed USB 2.0 portHp is little quite than brother. but it is not big deal for meor You can compare with the other printersbut in my case, the worst thing is the imprecise margin",0
420001,"Slow and Confusing: To me, the best recommendation for a book is how often I re-read it after I have read it the first time. For example, most of my copies of Robert Heinlein's books and early Tom Clancy novels are almost worn out. By that note, this book gets low marks, unlike other books in this series. It is slow and confusing. Fans of the series probably should read this book as it does contain information important to other books in the series, but these are characters and stories you will soon forget. I have.",0
430001,TATU rocks THE MUSIC WORLD: I REALLY HAD DOUBTS THAT THEIR ALBUM WOULD BE ANOTHER POP-BORING ALBUM. BUT YOU NEVER GET TIRED OF HEARING THEIR SINGLES FOR INSTANT ALL THE THINGS SHE SAID HAS AN AWESOME VOCAL RECORDING AND NOT GONNA GET US HAS THAT COOL AND UP BEAT RYTHYM IF YOURE TIRED OF AVRIL AND CHRISTINA AND WANT TO HEAR REAL MUSIC BUY THEIR ALBUM!!!!!!!!,1
440001,"A truly inspirational book: This is one of the finest books I've read. Killer Angels is the only book I can think of that comes close to it. But I believe this book is better, because Sam Damon puts his duty to his country ahead of everything. This should be required reading in schools so that the citizens in our country will know that war is possible and horrible. The only remedy is preparation and vigilance. It is apalling that our military cannot even enlist the required number of men it needs to keep up to strength. It is apalling that our country lacks a missle defense system to protect our shores. We can thank the ultimate Courtenay Massengale-William Jefferson Clinton and the other ignorant social welfare planners of his ilk. We all need to do our duty as citizens to force the politicians to do what is right.",1
450001,"Garbage: The not accurate at all, constantly resets itself randomly, and it grinds when moving because the part is bent. Do not buy this product.",0
460001,helpful: This book is quite heap of information and tips for packing luggage the right way. I'd recommend this for people who always travel - like me. :-),1
470001,"Disappointed: This is what happens when artists get too ambitious, ohh man i'm gonna miss the old Nelly.",0
480001,titanc: it a movie dealing with a love story betewen a lady and a drawing on the ships TITANIC which have been flow down in the ocean,1
490001,"A little overated? Yes. Bad? HELL NO.: Sure it's really hyped up from the success but it's still a great album. My fav's are: Title track, within you without you, L.I.T.S.W.D., and When I'm sixty-four. Only bad thing here is that this cd is open to immature people like MTV Supporter saying that no videos from this get played on MTV. first of all, I don't think they made videos of it, and second of all, even if they did, MTV wouldn't play them because MTV has no idea what good music is.I know I didn't have much to say about the cd but I can't say much about this that hasn't already been said.out...",0
500001,"Teeny Weeny & Useless: This ""Elegant Baby"" item is a feefee burp cloth with satin and micro soft fabrics that is too small to do anything with that could be construed as useful. Although it has a nice soft fabric wth rich chocolate color, it is too small and I believe the photos were misleading. I had no idea it was going to be soooo tiny (just 8 inches by 8 inches). In essence when you factor in shipping at approx $6 plus the $22 cost for the item you are looking at one overpriced burp cloth or feefee thing.",0
510001,"Complete Fiction: Well, while it may have some truth scattered about to through you off the scent, this movie stinks of fiction posing as a documentary.Michael Moore is at it again.",0
520001,"Great Buy!!: I have been looking for this movie everywhere, with out having to spend my life savings, and I found it through Amazon.com!!! This movie is no longer being sold in stores, and it was the only one of the series I didn't have, and everyone else wanted over $60 for it. This was a great find!",1
530001,"Not As Good As Expected: We have been enjoying the Archipelago Havana, and Archipelago Stonehenge candles for some time. We had expectations that this Bergamot Tobacco candle would be up to par with our previous candles. The Bergamot Tobacco has very little scent compared to the others. It is more expensive and not near as good as we anticipated. I recommend the Archipelago Stonehenge to anyone who is looking for a terrific scented candle. The Havana is also very nice.",0
540001,"Talented but just over the top: It is hard to judge music from the snippets available online. I purchased this CD, but wasn't really sure. When I received it and had a chance to actually listen, sometimes I just burst out laughing. Midway through every track you need to brace, because you can hear it coming, all the heavy-handed octaves. This man is so enormously talented, but, honestly, over the edge. If the tracks are busy, it is not because of the selections elected for medley; the musical choices themselves work well. Some of these tracks would be so nice if he just knew when to quit. I purchased a second copy as a joke gift. :)",0
550001,Identical to Image: It is white and looks identical to image. I liked how it arrived right away and it looks as I expected. I guess it's a great product if your looking for a combination wallplate with a switch and an outlet on the side.,1
560001,"Awakening!: This is the most spiritually awakening book I have read in a very long time. We hear so much about God's love and we are ever grateful and trusting in Him because of that undying, faithful love but when one experiences what Bill Wiese experienced it is almost beyond words. He wrote this so well that I felt as though I was walking through hell with him. It touched my soul in the way that we must pray for the lost and reminds me of God's words He wants that ""none would perish but all would have everlasting life in Him"". Wonderful reading. Carole S.",1
570001,NOT GOOD AT ALL: This was not as good as what i was thinking it would be very boring i felt like it did not have a good story line,0
580001,Gift: Sound very interesting and fun. Bought this as a Christmas present for my mother who loves English entertainment. Shipment arrived when expected and was properly packaged. Great price.,1
590001,"Absolutely Fantastic Album!!!!: Never thought I'd see the day when Guaco CDs are sold on Amazon.com! As they say in Venezuela, Guaco es Guaco. Quite unlike any other band in the world. They've moved from a pure Gaita (Venezuelan Xmas folk music) sound in the 70s/80s to a glorious mix of Salsa, Jazz, Rock, Funk.... Incredible. Best songs in this CD are Como Sera, Como es tan bella, Que Cobardia & El Sueno De Don Simon. I got hooked on this band after listening to this album. Other good Guaco albums are Triceratops, Classico-II & Amazonas. Saw them live in Valencia, Venezuela in Dec '97. They are like Gods there... my best concert ever! Dont miss this CD! -Dan",1
600001,"The Bad Wins: I recall playing this game years ago--almost a decade. This game featured a cool cast of characters, but that's it.For Gundam fans, it may have been somewhat of a treat simply because of the cast of characters and the Gundam title slapped on; however, this Gundam game is more like a slap across the face. The story is drab, the gameplay is a little uninspired and generic (almost a copy of the older 2D Dragon Ball Z fighting games--which were also pretty poor as well--replaced with Gundam characters), the game is horribly unbalanced, and the voice acting was sub-par. This was the first in a line of three Gundam fighting games to be horrible and the trilogy goes downhill with each sequel.Pros:+Fun for Gundam Fans+Lots of GundamsCons:-Generic Fighter/Another Game Using a Known Name and attaching to a bad game-UnbalancedI highly only recommend this game to hardcore Gundam fans...and even then, I warn you to rent the game first if you MUST try it out.",0
610001,Book Club reading: Some one in our book club recommend this for us to read. It just was not my kind of book. It does make you see what women went thru back in that time but I wouldn't recommend it myself for someone else to read.,0
620001,"It's a joke: Author has a chip on her shoulder because she was insulted by animal activists who referred to hunters as ""murderers"". In general it's poorly written, biased and poorly researched. If you want a good laugh, read this book. The vast majority of animal activists are not hellbent on destroying humankind for the sake of non-human species-which the author tries to press this view that all activists are. While animal extremism does exist, as a whole these activist she's demonizing are compassionate folks to human and animal alike.Really..this book is a complete joke.",0
630001,"You ain't gangsta you a b@#ch with a beat!: Crime mob? Give me a break. What kind of crime are you committing in your stilletos? This is ridiculous, IQ lowering, inbred, country, porch monkey, southern crunk krap! Why would you listen to something that you know is going to make you dumber and in the same breath set black people back 100 years. It is insulting for people of the world to see your videos and think all black people are like you. The beats on this album are corny, the lyrics sound like my seven year old wrote them, and the hooks give me the craps. Please stop rapping and pursue a promising career at target.",0
640001,"This is bad quality item.: I bought this. But like other people said, I'm very disappointment. I am not able to refund this despite disappointment because I have to pay UPS transfer fee. Never buy this. I think if you get this, you also feel that it is very waste.",0
650001,A Big Disappointment!: I was very disappointed in this book. I read some of the other Dana Stabenow's books and they weren't bad but this one was very unlikable. Most of the book was spent talking badly about religion. I have many friends that love God and they are the people I would go to in times of trouble. I hope Dana Stabenow gets back to writing mysteries.,0
660001,"My fan won't stop after install ... 2007 Mac Mini: I have a 2007 Mac Mini Core Duo 2GHz for reference. After installing this memory my fan kicked on and never turned off. The memory appears to be working, but as another reviewer stated they must be missing a temperature sensor that affects fan function. This small issue turns my normally quiet mini into a train coming down the tracks. I would definitely suggest researching this memory for your specific machine before you click the purchase button. It may save you the headache of dis-assembly, assembly, dis-assembly, assembly, return, purchase different memory and then dis-assembly, assembly again scenario I now face.",0
670001,"SORRY.....: sorry,this album sucked when it came out and hasnt gotten any better with age.i never understood how these guys where considered ""best"" of the genre along with metallica,megadeth and slayerparticularly when they went thru their rap phase...really weak.anyway,this particular album is not where you want to start if you are new to anthrax",0
680001,The best entertainment!!: My 2 year old daughter just loves this book. She reads it every day. She has actually worn it out and that is why we are purchasing another copy.,1
690001,Low quality...Don't buy!: Very poor quality slow tracking of the image even in day light conditions! The colors are extremely dissapointing..(...)I'll never buy anything from Olympus anymore.. I wonder how these guys get away with this crap?,0
700001,"Too noisy for my taste: I guess this filter is a borderline case. It does it's job and is not excessively noisy so many people may be fine with it. However, for me it became clear after a few days that I could not imagine sleeping for a long period if time with the filter's hum in the background, so I figured that I was likely to eventually discontinue using it and put it in the attic. I ended up sending it back.",0
710001,"not Maugham's best, but still very good: The book revisits a theme that Maugham took up severaltimes - that of an artist completely devoted to his art.Interestingly, there is no attempt to look for the causesof the destructive behavior of the main character, or evento pass judgment on it. Strickland's life and actionsare examined, sometimes in great detail. However, after the author'sinitial disapprobation, he comes to some sort of acceptance ofStrickland strange way of life.W. Somerset Maugham is best when he writes aboutrelationships. While this book seems a bit forced at times,Maugham had such a unique view of the topic that always makeshis writing interesting.",1
720001,"Very Powerful for such a small vacuum: A note of caution, when I plugged it in it ran and scared me. The switch was on out of the box?When you turn it on, it twists due to the torque of the motor. With that being said, this sucks with the power of a regular full size machine. It's easy to clean and handy to pull out for a simple cleaning instead of going to the closet to pull out the regular vacuum. We bought this to clean up our kitty litter and bird seed. The feathers were sticking to the brush we were using due to static electricity.",1
730001,Disappointed: For the amount of money I expected more. I would not buy this product again. I will buy the basic less expensive one next time. The first thing I noticed was that the case is very difficult to close. The plastic clasps do not work properly and hardly ever snap back into place. The second thing was that the stethoscope did not work. I removed the plastic tab on the battery and then nothing. I will try replacing the battery but for $25 I expect to get a product with good working batteries. I also would have preferred a stethoscope that let's you hear your heartbeat not an electronic sound.**Update** I changed the rating from a 2 to a 1 because the batteries were leaking.,0
740001,"NEW SONGS ROCK-it-OUTLOUD: Really good new songs.....GREAT. ( BUT )...I want the STONES to take these 7 offial new songs ( others are alternate versions )......""AND"", make a full album with them. There to good to be wasted on a 2cd, half finished extra CD. REALLY,...mick......just write and play 8-9 new songs, with the same syle....and MAKE THIS A ALBUM. REAL NEW ALBUM. It's better then writing 15 new ones. Plus it doesn't waste these great new songs on a old album.",1
750001,"Powerful music with a powerful message: I have yet to have heard a more well-written album, music as well and lyrics. Rich was truly talented, and we were fortunate to have him share his gift with us. ""Songs"" is a must-have! ""Not As Strong"" makes us examine ourselves, our lives and our relationship with God--",1
760001,"It Had to Happen!: Finally, a 60s rocker has grown up. Rod Stewart still has the best rock voice in the history of rock and roll (my personal bias) and he uses his own style to update these wonderful songs. He is very wise to go in this direction. He has proven he can grow up, still be sexy, and still give an exciting performance. Bravo, Rod! Keep this series of albums coming!!!",1
770001,Terrible CD: The Joss Stone of Snakes and Ladders is MIA. On this release she appears to be a background singer for a second rate rap group. There is NONE of the magic of her voice and lyrics from the Body and Soul CD.,0
780001,matrix need i say more: picture i sharp but grainy looks good on it thoughsounds great but not the best movie to show off ur tv,1
790001,"Not a book for applied mathematicians: The book sets out to be an introduction to linear algebra, starting out on the premise of sets and maps and going up in complexity to vectors spaces, matrices, systems of equations, and eigenvalues. For an introductory text though, I think the book does not cater to a wide enough audience in that it dwells too much on the pure maths aspects and does not give enough numerical explanations or ""real world"" examples. If you are a not a pure mathematician but would like to learn more about linear algebra because of its potential applications, then this would not be the right book for you. The writing style is inconsistent and somewhat dry in places. Sections are light where more explanations are needed, and verbose where conciseness would do.",0
800001,"Great cooler: This is one nice cooler - large but not too large, great lid, nice handle design, wheels... For about a year is has been used an abused - left outside in scorching heat or freezing temperatures, dragged in grass, on the deck stairs or the gravel driveway, and after a nice wash it still looks almost new. Never leaked, both wheels are still tight, and the handles are intact and strong. Now, I have not tested this too see if it keeps the ice for days, but for my needs (occasional picnic, groceries during summer, or just cooling some brewskies) this is perfect.",1
810001,"not worth the buy: So I recently purchased this movie, and it was really bad. Like I mean really terrible. I'm so mad at myself for buying this movie. Poorly made, barely any dialouge, and there was no point to the movie. No plot. Very disappointing.People, spare yourself the disappointment, and just don't even bother buying this movie.",0
820001,Really Cute: I am a huge fan of the Rugrats and I thought that the idea of a movie was really cool. When I watched it I tought it was very sweet. But when I watched it again I really enjoyed it. This movie is NOT an hour long episode that is considered a movie. This is pretty unique. It had a nice story. I think it even teachs you something (I know thats pretty lame but it does). I think it talks about that you should always trust your friends and not argue with them because they are the ones who will be there for you and you should stick with your family and love them no matter what. I used to watch this movie everyday and ruined three copies but I got a DVD copy which lasts longer and is much better. But I don't watch this movie as often but I still love it.,1
830001,"Wow......: True or false... this band is opening for the greatest band in the world (U2)..... unfortunately.... very true... how this has happened truly confuses me. even though there are bands like coldplay or snow patrol or muse to open, for some horrible reason someone out there listened to this band and said, these guys make good music. stay far away and wait for a band who will sing and actually play their instruments",0
840001,"Pleasantly Surprised: I was pleasantly surprised by this movie. I found it to be very funny between the one liners and the culture clashes. I agree with the other reviewers who say that if you feel this is a horrible movie, then you are taking it to seriously. It's not an Oscar contender for Pete's sake. It is exactly what it is meant to be which is a silly, lighthearted-spoof perfect for a rainy Saturday afternoon.",1
850001,Love to Paint Animals!: I absolutely love this book! It's has so many cute animals and the instructions are easy to follow! Awesome book!!!,1
860001,"Did someone say tea?: Thats what the coffee looks like after it brews!After many days searching for a coffeemaker I stumbled upon this one at Williams Sonoma, paid more there by the way. Well it""s going back to them tomorrow.PRO's, there really is none except if you are looking for something pretty to sit on your countertop for decoratation.CONS, many . This brews the weakest coffee I have ever had. I even resorted to rebrewing the pot it made and still no taste,The coffee comes out a light yellowbrown see-thru color, not dark and rich.The water level is a bit hard to read.Coffee does NOT stay hot for more then 10 minutes,Does not seal shut, had steam coming out in places it never ever should .Clock is impossible to readReady beep, well lets say don't wander more then 5 feet away to hear it!LOTS & LOTS of coffee grinds ended up in my cup , disgustingThis model should have been pulled from shelfs a year ago.",0
870001,"Perfect!!: These cables work great!! Running from my HD Cable box to my 50"" Samsung DLP. The picture is incredible on the true HD channels. Don't waste your money on more expensive cables!!!",1
880001,"A book based on Hubbard's psychological dogma: This book contains several methods of self-administered psychotherapy invented by pulp fiction writer L. Ron Hubbard. Some of the methods may assist some people, however Hubbard pretends to know what ails the human race and rants about that in most chapters of this book. Hubbard fails to grasp that people are individuals with individual issues and using this or that method will ""fix"" everybody up has never proved itself in reality.If I had to choose between doing the exercises in this book and joining the scientology cult, I would choose this book. But, the more sensible people will avoid doing either.",0
890001,"NOOOO, NO MAS MR. SANCHEZ....POR FAVOR.: Ok, definitivamente son exitos de aparador, han vendido millones (yo mismo los compré y leí...¿pueden creerlo?). Pero de verdad, NO VALE LA PENA.....es literatura barata....muy mal escrita. Mejor lean a Dilbert.",0
900001,Horrible border! (Blue Camo): This was the worst border I've ever used. Two adults trying and we still could not get it to stick. The prepasted back never even got tacky. My little boy was crying- it was just awful! Save your money!,0
910001,"Absurd Warranty: I loved this hairdryer for the first three months I had it. Then, it started whining and smoking. I thought, ""No problem, I'll return it to BioIonic, and they will replace it."" I had saved all the warranty information so read the directions. BioIonic wants $18.95 to send it to the repair center. That is completely absurd! They charge over $100.00 for a hairdryer that only works three months, and they want me to pay more? I will never buy anything made by this company again.",0
920001,"A great science-fiction film !: The story is good and very realistic and some mystery and stirred up the emotionsThe actors act well, particularly Mel Gibson ( like in the patriot).You never get bored.M. Night Shyamalan's film is brilliant, so I highly recommended it.",1
